"","ctname","Latitude","Population","date1","date2","date3","date4","date5","date6","date7","date8","date9","date10","date11","date12","date13","date14","date15","date16","date17","date18","date19","date20","date21","date22","date23","date24","date25","date26","date27","date28","date29"
"1741","Georgia-Gordon",34.509667,57685,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,4,4,6,8,9,9,12,14,14
"1770","Georgia-Gwinnett",33.959101,927781,0,0,0,0,0,0,0,0,2,2,2,2,2,2,4,5,7,7,12,23,23,27,35,46,69,79,121,131,145
"1799","Georgia-Lee",31.818419,29764,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,13,14,16,19,24,25,29,37,39,43
"1828","Georgia-Lowndes",30.83368,116321,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,4,5,6,7,7,8,8,11,12,14,20,20,20
"1857","Illinois-Cook",41.894294,5180493,3,4,4,4,5,5,6,7,11,17,22,27,40,51,51,77,107,178,278,411,548,805,922,1194,1418,1904,2239,2613,3445
"1886","Illinois-Kane",41.939594,534216,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3,3,4,6,8,8,13,18,24,38,57,75,90,100
"1915","Illinois-McHenry",42.324298,308570,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,4,4,8,11,12,12,14,19,27,45,47,52
"1944","Indiana-Adams",40.745733,35636,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1973","Indiana-Boone",40.050892,66999,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,4,7,7,8,13
"2002","Indiana-Hendricks",39.768749,167009,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,3,3,4,4,6,6,8,12,13,15,21,28,36,48
"2031","Indiana-Howard",40.483537,82366,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,5,5,5,6,6,6,6,6,7,9,12
"2060","Indiana-Johnson",39.495986,156225,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,7,7,12,14,18,24,36,42,52,71
"2089","Indiana-Marion",39.782976,954670,0,0,0,0,0,1,1,1,1,1,1,2,2,6,6,9,9,11,19,46,46,82,110,161,226,293,484,584,676
"2118","Indiana-Noble",41.400794,47532,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
"2147","Iowa-Johnson",41.668737,151260,0,0,0,0,0,0,0,0,7,13,13,14,14,14,14,15,18,21,22,22,27,32,35,37,43,49,58,61,65
"2176","Iowa-Pottawattamie",41.340184,93533,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3
"2205","Kansas-Johnson",38.883907,597555,0,0,0,0,0,0,0,1,1,1,1,4,4,4,5,10,10,11,16,23,25,28,32,36,46,59,66,80,108
"2234","Kentucky-Jefferson",38.189533,770517,0,0,0,0,0,0,0,0,1,1,1,2,3,4,6,7,7,10,17,17,17,17,28,31,35,35,35,103,116
"2263","Louisiana-Caddo",32.577195,242922,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,4,6,10,12,15,16,34,40,93,115,140,189,219
"2292","Louisiana-Jefferson",29.5033,434051,0,0,0,0,0,0,0,0,1,1,1,2,3,12,14,21,35,45,69,104,166,184,252,293,359,458,548,744,761
