"","ctname","prop.elder","Population","density","Latitude","pergdp","Meantem2020","fulldate","confirmed","pc1","pc2","pc3","pc4"
"690","Florida-Volusia",0.244244235,547538,149.1335556,29.057617,29725.01464,15.38888889,2020-03-23,16,"-0.462821613596892","-0.755440019229645","0.041175190679229","0.365271451479167"
"691","Florida-Volusia",0.244244235,547538,149.1335556,29.057617,29725.01464,15.38888889,2020-03-24,18,"-0.462821613596892","-0.755440019229645","0.041175190679229","0.365271451479167"
"692","Florida-Volusia",0.244244235,547538,149.1335556,29.057617,29725.01464,15.38888889,2020-03-25,28,"-0.462821613596892","-0.755440019229645","0.041175190679229","0.365271451479167"
"693","Florida-Volusia",0.244244235,547538,149.1335556,29.057617,29725.01464,15.38888889,2020-03-26,34,"-0.462821613596892","-0.755440019229645","0.041175190679229","0.365271451479167"
"694","Florida-Volusia",0.244244235,547538,149.1335556,29.057617,29725.01464,15.38888889,2020-03-27,43,"-0.462821613596892","-0.755440019229645","0.041175190679229","0.365271451479167"
"695","Florida-Volusia",0.244244235,547538,149.1335556,29.057617,29725.01464,15.38888889,2020-03-28,44,"-0.462821613596892","-0.755440019229645","0.041175190679229","0.365271451479167"
"696","Florida-Volusia",0.244244235,547538,149.1335556,29.057617,29725.01464,15.38888889,2020-03-29,60,"-0.462821613596892","-0.755440019229645","0.041175190679229","0.365271451479167"
"697","Georgia-Cherokee",0.139209676,254149,230,34.244317,23972.28459,6.166666667,2020-03-01,0,"-0.520613015378855","-0.757464951212773","0.0381338902081852","0.393469972339061"
"698","Georgia-Cherokee",0.139209676,254149,230,34.244317,23972.28459,6.166666667,2020-03-02,0,"-0.520613015378855","-0.757464951212773","0.0381338902081852","0.393469972339061"
"699","Georgia-Cherokee",0.139209676,254149,230,34.244317,23972.28459,6.166666667,2020-03-03,0,"-0.520613015378855","-0.757464951212773","0.0381338902081852","0.393469972339061"
"700","Georgia-Cherokee",0.139209676,254149,230,34.244317,23972.28459,6.166666667,2020-03-04,0,"-0.520613015378855","-0.757464951212773","0.0381338902081852","0.393469972339061"
